Family,ID,Control Name,NIST Control Description
ACCESS CONTROL,AC-1,Policy and Procedures,"a. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
 1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] access control policy that:
 (a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
 (b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
 2. Procedures to facilitate the implementation of the access control policy and the associated access controls;
 b. Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the access control policy and procedures; and
 c. Review and update the current access control:
 1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
 2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]."
ACCESS CONTROL,AC-2,Account Management,"a. Define and document the types of accounts allowed and specifically prohibited for use within the system;
 b. Assign account managers;
 c. Require [Assignment: organization-defined prerequisites and criteria] for group and role membership;
 d. Specify:
 1. Authorized users of the system;
 2. Group and role membership; and
 3. Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;
 e. Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts;
 f. Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];
 g. Monitor the use of accounts;
 h. Notify account managers and [Assignment: organization-defined personnel or roles] within:
 1. [Assignment: organization-defined time period] when accounts are no longer required;
 2. [Assignment: organization-defined time period] when users are terminated or transferred; and
 3. [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual;
 i. Authorize access to the system based on:
 1. A valid access authorization;
 2. Intended system usage; and
 3. [Assignment: organization-defined attributes (as required)];
 j. Review accounts for compliance with account management requirements [Assignment: organization-defined frequency];
 k. Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and
 l. Align account management processes with personnel termination and transfer processes."
ACCESS CONTROL,AC-2 (1),Account Management | Automated System Account Management,Support the management of system accounts using [Assignment: organization-defined automated mechanisms].
ACCESS CONTROL,AC-2 (2),Account Management | Automated Temporary and Emergency Account Management,Automatically [Selection: remove; disable] temporary and emergency accounts after [Assignment: organization-defined time period for each type of account].
ACCESS CONTROL,AC-2 (3),Account Management | Disable Accounts,"Disable accounts within [Assignment: organization-defined time period] when the accounts: 
 (a) Have expired;
 (b) Are no longer associated with a user or individual;
 (c) Are in violation of organizational policy; or
 (d) Have been inactive for [Assignment: organization-defined time period]."
ACCESS CONTROL,AC-2 (4),Account Management | Automated Audit Actions,"Automatically audit account creation, modification, enabling, disabling, and removal actions."
ACCESS CONTROL,AC-2 (5),Account Management | Inactivity Logout,Require that users log out when [Assignment: organization-defined time period of expected inactivity or description of when to log out].
ACCESS CONTROL,AC-2 (7),Account Management | Privileged User Accounts," (a) Establish and administer privileged user accounts in accordance with [Selection: a role-based access scheme; an attribute-based access scheme];
 (b) Monitor privileged role or attribute assignments;
 (c) Monitor changes to roles or attributes; and
 (d) Revoke access when privileged role or attribute assignments are no longer appropriate."
ACCESS CONTROL,AC-2 (9),Account Management | Restrictions on Use of Shared and Group Accounts,Only permit the use of shared and group accounts that meet [Assignment: organization-defined conditions for establishing shared and group accounts].
ACCESS CONTROL,AC-2 (12),Account Management | Account Monitoring for Atypical Usage," (a) Monitor system accounts for [Assignment: organization-defined atypical usage]; and
 (b) Report atypical usage of system accounts to [Assignment: organization-defined personnel or roles]."
ACCESS CONTROL,AC-2 (13),Account Management | Disable Accounts for High-risk Individuals,Disable accounts of individuals within [Assignment: organization-defined time period] of discovery of [Assignment: organization-defined significant risks].
ACCESS CONTROL,AC-3,Access Enforcement,Enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.
ACCESS CONTROL,AC-4,Information Flow Enforcement,Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on [Assignment: organization-defined information flow control policies].
